,X,Y,S_02_ID_x,DNAME_2002,D_02_ID_x,C_02_ID_x,SNAME_2002_x,CNAME_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NAM,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UTM200,DNAME_2010,DNAME_2006,CNAME_2006,SNAME_2006,PNAME_2006,FID_2,D_02_ID_y,PNAME_2002,P_02_ID,YPE,LABEL_P,DTW,DEPTH_clean,uid
16,33.125,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1540,1541,555,2,748,698,31,116,0,4,7,100,23.84,0.3,515096,354482,6,16,18,554482,4,4,6,25,82,601,305,77,30510601,3,77,3.5,100,16
17,33.125,3.161003089,305106,4,305,3051,28,5,13027,16490,0,76,1540,1541,555,2,748,698,31,116,0,4,7,100,23.84,0.3,515096,354482,6,16,18,554482,4,4,6,25,82,601,305,77,30510601,3,77,3.5,100,17
18,33.175,3.211003089,305109,4,305,3051,49,5,16570,20975,0,79,1540,1541,555,2,748,698,31,116,0,4,7,100,23.84,0.3,515096,354482,6,16,18,554482,4,4,6,25,82,601,305,77,30510601,3,77,3.5,100,18
4474,33.075,3.561003089,305203,4,305,3052,40,13,10298,13036,0,95,747,748,841,3,338,345,31,115,0,4,7,95.92,,0.27,507673,389576,6,16,18,589576,14,4,12,37,147,362,305,140,30520303,3,140,3.5,95.92,4474
4475,33.025,3.511003089,305203,4,305,3052,40,13,10298,13036,0,95,747,748,841,3,338,345,31,115,0,4,7,95.92,,0.27,507673,389576,6,16,18,589576,14,4,12,37,147,362,305,140,30520303,3,140,3.5,95.92,4475
4476,33.075,3.511003089,305107,4,305,3051,42,5,15060,19064,0,95,747,748,841,3,338,345,31,115,0,4,7,95.92,,0.27,507673,389576,6,16,18,589576,14,4,12,37,147,362,305,140,30520303,3,140,3.5,95.92,4476
7920,33.025,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1058,1059,856,2,410,401,31,117,0,4,7,95,41.23,0.9,504190,370128,6,10,7,570128,4,4,6,39,14,487,305,12,30510701,3,12,3.5,95,7920
7921,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1058,1059,856,2,410,401,31,117,0,4,7,95,41.23,0.9,504190,370128,6,10,7,570128,4,4,6,39,14,487,305,12,30510701,3,12,16,95,7921
7922,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1058,1059,856,2,410,401,31,117,0,4,7,95,41.23,0.9,504190,370128,6,10,7,570128,4,4,6,39,14,487,305,12,30510701,3,12,3.5,95,7922
4231,32.925,3.611003089,305209,4,305,3052,66,13,9954,12600,0,83,705,706,1600,3,600,575,31,117,0,4,7,92.16,23.76,1.8,495349,397667,6,16,10,597667,14,4,12,61,39,342,305,36,30520901,3,36,3.5,92.16,4231
4232,32.975,3.611003089,305209,4,305,3052,66,13,9954,12600,0,83,705,706,1600,3,600,575,31,117,0,4,7,92.16,23.76,1.8,495349,397667,6,16,10,597667,14,4,12,61,39,342,305,36,30520901,3,36,3.5,92.16,4232
4233,32.975,3.561003089,305209,4,305,3052,66,13,9954,12600,0,83,705,706,1600,3,600,575,31,117,0,4,7,92.16,23.76,1.8,495349,397667,6,16,10,597667,14,4,12,61,39,342,305,36,30520901,3,36,3.5,92.16,4233
7471,32.775,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,856,857,1335,3,386,498,31,117,0,4,7,92,20.71,0.5,480485,382158,6,16,10,582158,14,4,12,53,91,409,305,86,30520602,3,86,16,92,7471
7472,32.825,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,856,857,1335,3,386,498,31,117,0,4,7,92,20.71,0.5,480485,382158,6,16,10,582158,14,4,12,53,91,409,305,86,30520602,3,86,3.5,92,7472
7473,32.825,3.411003089,305206,4,305,3052,58,13,11869,15024,0,95,856,857,1335,3,386,498,31,117,0,4,7,92,20.71,0.5,480485,382158,6,16,10,582158,14,4,12,53,91,409,305,86,30520602,3,86,16,92,7473
4499,33.025,3.511003089,305203,4,305,3052,40,13,10298,13036,0,95,790,791,857,2,120,103,31,116,0,4,7,91.82,25.93,5.4,506950,386509,6,16,19,586509,4,4,6,39,147,375,305,140,30510703,3,140,3.5,91.82,4499
4500,33.075,3.461003089,305107,4,305,3051,42,5,15060,19064,0,95,790,791,857,2,120,103,31,116,0,4,7,91.82,25.93,5.4,506950,386509,6,16,19,586509,4,4,6,39,147,375,305,140,30510703,3,140,3.5,91.82,4500
4501,33.075,3.511003089,305107,4,305,3051,42,5,15060,19064,0,95,790,791,857,2,120,103,31,116,0,4,7,91.82,25.93,5.4,506950,386509,6,16,19,586509,4,4,6,39,147,375,305,140,30510703,3,140,3.5,91.82,4501
10491,32.825,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1197,1199,98,2,171,570,31,116,0,4,7,91.6,21.7,2.5,484335,366318,6,16,19,566318,4,4,6,22,97,523,305,92,30510301,3,92,3.5,91.6,10491
10492,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1197,1199,98,2,171,570,31,116,0,4,7,91.6,21.7,2.5,484335,366318,6,16,19,566318,4,4,6,22,97,523,305,92,30510301,3,92,3.5,91.6,10492
10493,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1197,1199,98,2,171,570,31,116,0,4,7,91.6,21.7,2.5,484335,366318,6,16,19,566318,4,4,6,22,97,523,305,92,30510301,3,92,16,91.6,10493
7813,32.975,3.411003089,305107,4,305,3051,42,5,15060,19064,0,95,941,942,660,2,619,198,31,115,0,4,7,91.36,,0.51,493529,375075,6,16,18,575075,4,4,6,24,207,445,305,198,30510504,3,198,16,91.36,7813
7814,32.975,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,941,942,660,2,619,198,31,115,0,4,7,91.36,,0.51,493529,375075,6,16,18,575075,4,4,6,24,207,445,305,198,30510504,3,198,3.5,91.36,7814
7815,32.925,3.411003089,305105,4,305,3051,27,5,8793,11131,0,95,941,942,660,2,619,198,31,115,0,4,7,91.36,,0.51,493529,375075,6,16,18,575075,4,4,6,24,207,445,305,198,30510504,3,198,3.5,91.36,7815
7816,32.925,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,941,942,660,2,619,198,31,115,0,4,7,91.36,,0.51,493529,375075,6,16,18,575075,4,4,6,24,207,445,305,198,30510504,3,198,3.5,91.36,7816
3845,32.475,3.411003089,305204,4,305,3052,67,13,8551,10824,0,95,909,910,1551,3,420,540,79,113,0,4,7,91.28,30.45,0.5,444121,376617,6,16,19,576617,14,4,12,62,121,433,305,115,30520402,3,115,3.5,91.28,3845
3846,32.525,3.411003089,305204,4,305,3052,67,13,8551,10824,0,95,909,910,1551,3,420,540,79,113,0,4,7,91.28,30.45,0.5,444121,376617,6,16,19,576617,14,4,12,62,121,433,305,115,30520402,3,115,3.5,91.28,3846
338,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1174,1176,342,2,639,605,31,116,0,4,7,90,,0.5,506988,366102,6,16,18,566102,4,4,6,19,187,521,305,178,30510204,3,178,3.5,90,338
339,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1174,1176,342,2,639,605,31,116,0,4,7,90,,0.5,506988,366102,6,16,18,566102,4,4,6,19,187,521,305,178,30510204,3,178,3.5,90,339
4624,33.425,3.561003089,305110,4,305,3051,52,5,22469,28443,0,81,562,563,1138,2,429,422,8,116,0,4,7,90,54.85,0.7,551797,391192,6,10,6,591192,4,4,6,48,76,289,305,71,30511003,3,71,3.5,90,4624
4625,33.475,3.561003089,305110,4,305,3051,52,5,22469,28443,0,81,562,563,1138,2,429,422,8,116,0,4,7,90,54.85,0.7,551797,391192,6,10,6,591192,4,4,6,48,76,289,305,71,30511003,3,71,16,90,4625
4626,33.475,3.511003089,305110,4,305,3051,52,5,22469,28443,0,81,562,563,1138,2,429,422,8,116,0,4,7,90,54.85,0.7,551797,391192,6,10,6,591192,4,4,6,48,76,289,305,71,30511003,3,71,16,90,4626
4691,33.425,3.411003089,305110,4,305,3051,52,5,22469,28443,0,81,549,550,1125,2,196,202,31,117,0,4,7,90,81.5,0.3,549851,377086,6,16,7,577086,4,4,6,48,76,289,305,71,30511003,3,71,3.5,90,4691
4692,33.475,3.411003089,305110,4,305,3051,52,5,22469,28443,0,81,549,550,1125,2,196,202,31,117,0,4,7,90,81.5,0.3,549851,377086,6,16,7,577086,4,4,6,48,76,289,305,71,30511003,3,71,3.5,90,4692
10289,32.725,3.311003089,305207,4,305,3052,63,13,12639,15999,0,95,4279,3513,148,3,205,211,31,116,0,4,7,90,32.58,0.7,471262,366959,6,16,18,566959,14,4,12,58,45,6239,305,42,30520702,3,42,16,90,10289
10290,32.725,3.361003089,305207,4,305,3052,63,13,12639,15999,0,95,4279,3513,148,3,205,211,31,116,0,4,7,90,32.58,0.7,471262,366959,6,16,18,566959,14,4,12,58,45,6239,305,42,30520702,3,42,3.5,90,10290
10291,32.775,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,4279,3513,148,3,205,211,31,116,0,4,7,90,32.58,0.7,471262,366959,6,16,18,566959,14,4,12,58,45,6239,305,42,30520702,3,42,3.5,90,10291
11065,33.325,3.311003089,305108,4,305,3051,43,5,14103,17852,0,77,967,968,1002,2,414,404,31,117,0,4,7,90,35.09,3.24,535709,370027,6,16,7,570027,4,4,6,40,185,452,305,176,30510802,3,176,3.5,90,11065
11066,33.275,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,967,968,1002,2,414,404,31,117,0,4,7,90,35.09,3.24,535709,370027,6,16,7,570027,4,4,6,40,185,452,305,176,30510802,3,176,16,90,11066
