,X,Y,S_02_ID_x,DNAME_2002,D_02_ID_x,C_02_ID_x,SNAME_2002_x,CNAME_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NAM,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UTM200,DNAME_2010,DNAME_2006,CNAME_2006,SNAME_2006,PNAME_2006,FID_2,D_02_ID_y,PNAME_2002,P_02_ID,YPE,LABEL_P,DTW,DEPTH_clean,uid
7648,32.775,3.511003089,305206,4,305,3052,58,13,11869,15024,0,95,770,771,1263,3,507,483,79,116,0,4,7,55,24.53,1.4,475569,388456,6,16,6,588456,14,4,12,53,0,369,305,0,30520601,3,0,3.5,55,7648
7649,32.775,3.561003089,305205,4,305,3052,57,13,12667,16035,0,94,770,771,1263,3,507,483,79,116,0,4,7,55,24.53,1.4,475569,388456,6,16,6,588456,14,4,12,53,0,369,305,0,30520601,3,0,3.5,55,7649
7650,32.825,3.511003089,305205,4,305,3052,57,13,12667,16035,0,94,770,771,1263,3,507,483,79,116,0,4,7,55,24.53,1.4,475569,388456,6,16,6,588456,14,4,12,53,0,369,305,0,30520601,3,0,3.5,55,7650
7682,32.825,3.511003089,305205,4,305,3052,57,13,12667,16035,0,94,802,803,1208,3,233,246,79,116,0,4,7,55,25.68,4.2,482621,387687,6,16,6,587687,14,4,12,52,80,393,305,75,30520503,3,75,3.5,55,7682
7683,32.875,3.511003089,305205,4,305,3052,57,13,12667,16035,0,94,802,803,1208,3,233,246,79,116,0,4,7,55,25.68,4.2,482621,387687,6,16,6,587687,14,4,12,52,80,393,305,75,30520503,3,75,3.5,55,7683
10605,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1253,1254,445,2,501,384,58,113,0,1,7,55,,3,488342,366628,6,16,0,566628,4,4,6,18,240,532,305,231,30510105,3,231,3.5,55,10605
10606,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1253,1254,445,2,501,384,58,113,0,1,7,55,,3,488342,366628,6,16,0,566628,4,4,6,18,240,532,305,231,30510105,3,231,3.5,55,10606
10607,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1253,1254,445,2,501,384,58,113,0,1,7,55,,3,488342,366628,6,16,0,566628,4,4,6,18,240,532,305,231,30510105,3,231,16,55,10607
10983,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,4206,3457,241,2,559,517,79,116,0,4,7,55,24.82,10.8,493211,364985,6,16,6,564985,4,4,6,23,128,5245,305,122,30510404,3,122,3.5,55,10983
10984,32.975,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,4206,3457,241,2,559,517,79,116,0,4,7,55,24.82,10.8,493211,364985,6,16,6,564985,4,4,6,23,128,5245,305,122,30510404,3,122,3.5,55,10984
10985,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4206,3457,241,2,559,517,79,116,0,4,7,55,24.82,10.8,493211,364985,6,16,6,564985,4,4,6,23,128,5245,305,122,30510404,3,122,16,55,10985
124,33.075,3.261003089,305106,4,305,3051,28,5,13027,16490,0,76,1286,1287,279,2,190,363,49,115,0,16,7,54.7,,1.5,506604,360851,2,4,3,560851,4,4,6,19,58,545,305,55,30510201,3,55,3.5,54.7,124
125,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1286,1287,279,2,190,363,49,115,0,16,7,54.7,,1.5,506604,360851,2,4,3,560851,4,4,6,19,58,545,305,55,30510201,3,55,3.5,54.7,125
126,33.025,3.261003089,305102,4,305,3051,22,5,11666,14767,0,95,1286,1287,279,2,190,363,49,115,0,16,7,54.7,,1.5,506604,360851,2,4,3,560851,4,4,6,19,58,545,305,55,30510201,3,55,16,54.7,126
11681,32.825,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,4199,3450,207,2,914,988,87,116,0,4,7,54.22,18,2,485081,354977,6,16,2,554977,4,4,6,23,77,5218,305,72,30510401,3,72,16,54.22,11681
11682,32.875,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,4199,3450,207,2,914,988,87,116,0,4,7,54.22,18,2,485081,354977,6,16,2,554977,4,4,6,23,77,5218,305,72,30510401,3,72,16,54.22,11682
446,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1309,1310,1076,2,97,766,87,115,0,1,7,54,30.46,0.87,529421,365247,5,15,0,565247,4,4,6,45,132,546,305,126,30510902,3,126,16,54,446
447,33.275,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1309,1310,1076,2,97,766,87,115,0,1,7,54,30.46,0.87,529421,365247,5,15,0,565247,4,4,6,45,132,546,305,126,30510902,3,126,3.5,54,447
448,33.275,3.311003089,305108,4,305,3051,43,5,14103,17852,0,77,1309,1310,1076,2,97,766,87,115,0,1,7,54,30.46,0.87,529421,365247,5,15,0,565247,4,4,6,45,132,546,305,126,30510902,3,126,3.5,54,448
2937,32.925,3.211003089,312101,9,312,3121,1,1,19520,26022,0,70,4212,3463,186,2,72,969,48,113,0,4,7,54,17.56,5.4,3,33,6,16,0,559228,4,4,6,23,99,5246,305,94,30510403,3,94,16,54,2937
2938,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4212,3463,186,2,72,969,48,113,0,4,7,54,17.56,5.4,3,33,6,16,0,559228,4,4,6,23,99,5246,305,94,30510403,3,94,3.5,54,2938
2939,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4212,3463,186,2,72,969,48,113,0,4,7,54,17.56,5.4,3,33,6,16,0,559228,4,4,6,23,99,5246,305,94,30510403,3,94,16,54,2939
3977,32.525,3.561003089,305208,4,305,3052,64,13,12786,16185,0,88,586,587,1470,3,539,123,31,110,0,4,7,54,9,2.7,450821,391398,6,10,17,591398,14,4,12,59,33,295,305,31,30520801,3,31,3.5,54,3977
3978,32.575,3.561003089,305208,4,305,3052,64,13,12786,16185,0,88,586,587,1470,3,539,123,31,110,0,4,7,54,9,2.7,450821,391398,6,10,17,591398,14,4,12,59,33,295,305,31,30520801,3,31,3.5,54,3978
3979,32.525,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,586,587,1470,3,539,123,31,110,0,4,7,54,9,2.7,450821,391398,6,10,17,591398,14,4,12,59,33,295,305,31,30520801,3,31,3.5,54,3979
3980,32.575,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,586,587,1470,3,539,123,31,110,0,4,7,54,9,2.7,450821,391398,6,10,17,591398,14,4,12,59,33,295,305,31,30520801,3,31,3.5,54,3980
4029,32.625,3.611003089,305202,4,305,3052,37,13,20038,25365,0,95,644,645,737,3,684,741,49,115,0,16,7,54,25.1,1.5,459831,399280,2,4,3,599280,14,4,12,35,210,332,305,201,30520206,3,201,3.5,54,4029
4030,32.675,3.611003089,305202,4,305,3052,37,13,20038,25365,0,95,644,645,737,3,684,741,49,115,0,16,7,54,25.1,1.5,459831,399280,2,4,3,599280,14,4,12,35,210,332,305,201,30520206,3,201,3.5,54,4030
7594,32.825,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,848,849,1316,3,517,485,69,112,0,4,7,54,21.76,6.8,480103,384852,6,10,9,584852,14,4,12,53,91,409,305,86,30520602,3,86,3.5,54,7594
7595,32.825,3.511003089,305205,4,305,3052,57,13,12667,16035,0,94,848,849,1316,3,517,485,69,112,0,4,7,54,21.76,6.8,480103,384852,6,10,9,584852,14,4,12,53,91,409,305,86,30520602,3,86,3.5,54,7595
106,33.075,3.261003089,305106,4,305,3051,28,5,13027,16490,0,76,1441,1442,589,2,54,39,31,111,0,4,7,53.64,26.2,0.76,508455,357651,6,16,0,557651,4,4,6,25,233,572,305,224,30510604,3,224,3.5,53.64,106
107,33.075,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1441,1442,589,2,54,39,31,111,0,4,7,53.64,26.2,0.76,508455,357651,6,16,0,557651,4,4,6,25,233,572,305,224,30510604,3,224,16,53.64,107
10429,32.775,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1076,1077,155,2,768,57,48,113,0,4,7,53,21.5,2,477523,367987,6,10,0,567987,4,4,6,22,196,493,305,187,30510303,3,187,3.5,53,10429
10430,32.825,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1076,1077,155,2,768,57,48,113,0,4,7,53,21.5,2,477523,367987,6,10,0,567987,4,4,6,22,196,493,305,187,30510303,3,187,3.5,53,10430
10431,32.775,3.361003089,305103,4,305,3051,25,5,12858,16276,0,95,1076,1077,155,2,768,57,48,113,0,4,7,53,21.5,2,477523,367987,6,10,0,567987,4,4,6,22,196,493,305,187,30510303,3,187,3.5,53,10431
10432,32.825,3.361003089,305103,4,305,3051,25,5,12858,16276,0,95,1076,1077,155,2,768,57,48,113,0,4,7,53,21.5,2,477523,367987,6,10,0,567987,4,4,6,22,196,493,305,187,30510303,3,187,3.5,53,10432
10955,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,4223,3474,197,2,575,571,58,115,0,4,7,52.7,30.1,4,491071,361120,6,10,3,561120,4,4,6,23,99,5246,305,94,30510403,3,94,3.5,52.7,10955
10956,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4223,3474,197,2,575,571,58,115,0,4,7,52.7,30.1,4,491071,361120,6,10,3,561120,4,4,6,23,99,5246,305,94,30510403,3,94,3.5,52.7,10956
10957,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,4223,3474,197,2,575,571,58,115,0,4,7,52.7,30.1,4,491071,361120,6,10,3,561120,4,4,6,23,99,5246,305,94,30510403,3,94,16,52.7,10957
7476,32.775,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,829,830,1381,3,98,86,58,115,0,4,7,52.26,14,1,475042,384586,6,10,15,584586,14,4,12,53,265,404,305,256,30520604,3,256,16,52.26,7476
7477,32.775,3.511003089,305206,4,305,3052,58,13,11869,15024,0,95,829,830,1381,3,98,86,58,115,0,4,7,52.26,14,1,475042,384586,6,10,15,584586,14,4,12,53,265,404,305,256,30520604,3,256,3.5,52.26,7477
7544,32.825,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,804,805,1221,3,519,708,1,63,0,16,7,52.2,12,3.2,481673,383905,2,4,5,583905,14,4,12,52,80,393,305,75,30520503,3,75,3.5,52.2,7544
7545,32.875,3.461003089,305205,4,305,3052,57,13,12667,16035,0,94,804,805,1221,3,519,708,1,63,0,16,7,52.2,12,3.2,481673,383905,2,4,5,583905,14,4,12,52,80,393,305,75,30520503,3,75,3.5,52.2,7545
7546,32.825,3.511003089,305205,4,305,3052,57,13,12667,16035,0,94,804,805,1221,3,519,708,1,63,0,16,7,52.2,12,3.2,481673,383905,2,4,5,583905,14,4,12,52,80,393,305,75,30520503,3,75,3.5,52.2,7546
113,33.075,3.261003089,305106,4,305,3051,28,5,13027,16490,0,76,1283,1284,276,2,188,197,8,117,0,4,7,52,13.44,0.8,505016,359089,6,16,6,559089,4,4,6,19,58,545,305,55,30510201,3,55,3.5,52,113
114,33.025,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1283,1284,276,2,188,197,8,117,0,4,7,52,13.44,0.8,505016,359089,6,16,6,559089,4,4,6,19,58,545,305,55,30510201,3,55,16,52,114
115,33.075,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1283,1284,276,2,188,197,8,117,0,4,7,52,13.44,0.8,505016,359089,6,16,6,559089,4,4,6,19,58,545,305,55,30510201,3,55,16,52,115
116,33.025,3.261003089,305102,4,305,3051,22,5,11666,14767,0,95,1283,1284,276,2,188,197,8,117,0,4,7,52,13.44,0.8,505016,359089,6,16,6,559089,4,4,6,19,58,545,305,55,30510201,3,55,16,52,116
311,33.225,3.211003089,305109,4,305,3051,49,5,16570,20975,0,79,1217,1218,1026,2,889,891,8,116,0,4,7,52,7,1.8,526536,356330,5,16,20,556330,4,4,6,45,205,530,305,196,30510903,3,196,3.5,52,311
312,33.275,3.211003089,305109,4,305,3051,49,5,16570,20975,0,79,1217,1218,1026,2,889,891,8,116,0,4,7,52,7,1.8,526536,356330,5,16,20,556330,4,4,6,45,205,530,305,196,30510903,3,196,16,52,312
313,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1217,1218,1026,2,889,891,8,116,0,4,7,52,7,1.8,526536,356330,5,16,20,556330,4,4,6,45,205,530,305,196,30510903,3,196,3.5,52,313
3893,32.525,3.461003089,305208,4,305,3052,64,13,12786,16185,0,88,838,839,1513,3,468,445,79,116,0,4,7,52,16.74,6.5,450405,384009,6,16,6,584009,14,4,12,59,83,407,305,78,30520803,3,78,3.5,52,3893
3894,32.575,3.461003089,305208,4,305,3052,64,13,12786,16185,0,88,838,839,1513,3,468,445,79,116,0,4,7,52,16.74,6.5,450405,384009,6,16,6,584009,14,4,12,59,83,407,305,78,30520803,3,78,3.5,52,3894
3895,32.525,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,838,839,1513,3,468,445,79,116,0,4,7,52,16.74,6.5,450405,384009,6,16,6,584009,14,4,12,59,83,407,305,78,30520803,3,78,3.5,52,3895
3896,32.575,3.511003089,305208,4,305,3052,64,13,12786,16185,0,88,838,839,1513,3,468,445,79,116,0,4,7,52,16.74,6.5,450405,384009,6,16,6,584009,14,4,12,59,83,407,305,78,30520803,3,78,3.5,52,3896
7516,32.825,3.461003089,305206,4,305,3052,58,13,11869,15024,0,95,852,853,1331,3,530,497,79,116,0,4,7,52,26.73,1.4,482610,379681,6,16,6,579681,14,4,12,53,91,409,305,86,30520602,3,86,3.5,52,7516
7517,32.825,3.411003089,305206,4,305,3052,58,13,11869,15024,0,95,852,853,1331,3,530,497,79,116,0,4,7,52,26.73,1.4,482610,379681,6,16,6,579681,14,4,12,53,91,409,305,86,30520602,3,86,16,52,7517
7518,32.875,3.461003089,305205,4,305,3052,57,13,12667,16035,0,94,852,853,1331,3,530,497,79,116,0,4,7,52,26.73,1.4,482610,379681,6,16,6,579681,14,4,12,53,91,409,305,86,30520602,3,86,3.5,52,7518
7519,32.875,3.411003089,305205,4,305,3052,57,13,12667,16035,0,94,852,853,1331,3,530,497,79,116,0,4,7,52,26.73,1.4,482610,379681,6,16,6,579681,14,4,12,53,91,409,305,86,30520602,3,86,3.5,52,7519
10925,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1135,1136,639,2,764,715,64,117,0,4,7,52,21.49,2,492306,366541,6,10,17,566541,4,4,6,24,188,511,305,179,30510503,3,179,3.5,52,10925
10926,32.925,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1135,1136,639,2,764,715,64,117,0,4,7,52,21.49,2,492306,366541,6,10,17,566541,4,4,6,24,188,511,305,179,30510503,3,179,3.5,52,10926
10927,32.975,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1135,1136,639,2,764,715,64,117,0,4,7,52,21.49,2,492306,366541,6,10,17,566541,4,4,6,24,188,511,305,179,30510503,3,179,3.5,52,10927
11646,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1434,1435,254,2,648,612,79,116,0,4,7,52,22.06,3,482235,359351,6,16,6,559351,4,4,6,23,98,571,305,93,30510402,3,93,3.5,52,11646
11647,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1434,1435,254,2,648,612,79,116,0,4,7,52,22.06,3,482235,359351,6,16,6,559351,4,4,6,23,98,571,305,93,30510402,3,93,3.5,52,11647
11648,32.825,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,1434,1435,254,2,648,612,79,116,0,4,7,52,22.06,3,482235,359351,6,16,6,559351,4,4,6,23,98,571,305,93,30510402,3,93,16,52,11648
43,33.125,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1439,1440,557,2,58,412,58,113,0,1,7,51.85,,0.5,510782,354813,1,1,0,554813,4,4,6,25,233,572,305,224,30510604,3,224,3.5,51.85,43
44,33.075,3.211003089,305106,4,305,3051,28,5,13027,16490,0,76,1439,1440,557,2,58,412,58,113,0,1,7,51.85,,0.5,510782,354813,1,1,0,554813,4,4,6,25,233,572,305,224,30510604,3,224,16,51.85,44
346,33.075,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1178,1180,347,2,637,603,49,115,0,16,7,51.7,32,0.72,505902,368548,2,4,3,568548,4,4,6,19,187,521,305,178,30510204,3,178,3.5,51.7,346
347,33.025,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1178,1180,347,2,637,603,49,115,0,16,7,51.7,32,0.72,505902,368548,2,4,3,568548,4,4,6,19,187,521,305,178,30510204,3,178,3.5,51.7,347
348,33.075,3.361003089,305107,4,305,3051,42,5,15060,19064,0,95,1178,1180,347,2,637,603,49,115,0,16,7,51.7,32,0.72,505902,368548,2,4,3,568548,4,4,6,19,187,521,305,178,30510204,3,178,16,51.7,348
349,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1178,1180,347,2,637,603,49,115,0,16,7,51.7,32,0.72,505902,368548,2,4,3,568548,4,4,6,19,187,521,305,178,30510204,3,178,3.5,51.7,349
10194,32.975,3.811003089,305201,4,305,3052,3,13,16543,20941,0,73,533,534,28,3,38,806,79,113,0,4,7,51.34,13.51,2,502131,419925,6,16,19,619925,14,4,12,3,170,280,305,161,30520103,3,161,3.5,51.34,10194
10195,33.025,3.811003089,305201,4,305,3052,3,13,16543,20941,0,73,533,534,28,3,38,806,79,113,0,4,7,51.34,13.51,2,502131,419925,6,16,19,619925,14,4,12,3,170,280,305,161,30520103,3,161,3.5,51.34,10195
10196,33.025,3.761003089,305201,4,305,3052,3,13,16543,20941,0,73,533,534,28,3,38,806,79,113,0,4,7,51.34,13.51,2,502131,419925,6,16,19,619925,14,4,12,3,170,280,305,161,30520103,3,161,3.5,51.34,10196
10553,32.825,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1191,1193,91,2,455,515,1,0,1,1,7,51.3,,,483679,364662,1,1,0,564662,4,4,6,22,97,523,305,92,30510301,3,92,3.5,51.3,10553
10554,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1191,1193,91,2,455,515,1,0,1,1,7,51.3,,,483679,364662,1,1,0,564662,4,4,6,22,97,523,305,92,30510301,3,92,3.5,51.3,10554
10555,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1191,1193,91,2,455,515,1,0,1,1,7,51.3,,,483679,364662,1,1,0,564662,4,4,6,22,97,523,305,92,30510301,3,92,3.5,51.3,10555
10556,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1191,1193,91,2,455,515,1,0,1,1,7,51.3,,,483679,364662,1,1,0,564662,4,4,6,22,97,523,305,92,30510301,3,92,3.5,51.3,10556
1932,32.325,3.311003089,304302,3,304,3043,10,11,27013,31915,0,59,4265,3503,1532,3,119,102,58,114,0,1,7,51,,2,429589,365678,6,10,0,565678,14,4,12,62,28,6237,305,26,30520401,3,26,3.5,51,1932
1933,32.375,3.261003089,304104,3,304,3041,65,2,6609,7808,0,95,4265,3503,1532,3,119,102,58,114,0,1,7,51,,2,429589,365678,6,10,0,565678,14,4,12,62,28,6237,305,26,30520401,3,26,3.5,51,1933
1934,32.375,3.311003089,305204,4,305,3052,67,13,8551,10824,0,95,4265,3503,1532,3,119,102,58,114,0,1,7,51,,2,429589,365678,6,10,0,565678,14,4,12,62,28,6237,305,26,30520401,3,26,3.5,51,1934
2516,32.475,3.011003089,304101,3,304,3041,11,2,11160,13185,0,95,2131,2031,1388,1,183,144,31,110,0,4,7,51,27,0.7,445161,330210,6,10,17,530210,3,3,3,54,183,753,304,174,30410305,3,174,3.5,51,2516
2517,32.525,3.011003089,304101,3,304,3041,11,2,11160,13185,0,95,2131,2031,1388,1,183,144,31,110,0,4,7,51,27,0.7,445161,330210,6,10,17,530210,3,3,3,54,183,753,304,174,30410305,3,174,3.5,51,2517
2518,32.475,2.961003089,304101,3,304,3041,11,2,11160,13185,0,95,2131,2031,1388,1,183,144,31,110,0,4,7,51,27,0.7,445161,330210,6,10,17,530210,3,3,3,54,183,753,304,174,30410305,3,174,3.5,51,2518
2519,32.525,2.961003089,304103,3,304,3041,59,2,24876,29390,0,93,2131,2031,1388,1,183,144,31,110,0,4,7,51,27,0.7,445161,330210,6,10,17,530210,3,3,3,54,183,753,304,174,30410305,3,174,16,51,2519
4348,32.875,3.661003089,305209,4,305,3052,66,13,9954,12600,0,83,621,622,1628,3,417,411,31,116,0,15,7,51,12.34,11.127,489031,408593,4,5,19,608593,14,4,12,61,230,307,305,221,30520903,3,221,3.5,51,4348
4349,32.925,3.661003089,305209,4,305,3052,66,13,9954,12600,0,83,621,622,1628,3,417,411,31,116,0,15,7,51,12.34,11.127,489031,408593,4,5,19,608593,14,4,12,61,230,307,305,221,30520903,3,221,3.5,51,4349
4350,32.875,3.711003089,305201,4,305,3052,3,13,16543,20941,0,73,621,622,1628,3,417,411,31,116,0,15,7,51,12.34,11.127,489031,408593,4,5,19,608593,14,4,12,61,230,307,305,221,30520903,3,221,3.5,51,4350
4351,32.925,3.711003089,305201,4,305,3052,3,13,16543,20941,0,73,621,622,1628,3,417,411,31,116,0,15,7,51,12.34,11.127,489031,408593,4,5,19,608593,14,4,12,61,230,307,305,221,30520903,3,221,3.5,51,4351
10465,32.775,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1078,1079,159,2,138,100,31,112,0,1,7,51,,4.2,475546,368815,6,10,1,568815,4,4,6,22,196,493,305,187,30510303,3,187,3.5,51,10465
10466,32.775,3.361003089,305103,4,305,3051,25,5,12858,16276,0,95,1078,1079,159,2,138,100,31,112,0,1,7,51,,4.2,475546,368815,6,10,1,568815,4,4,6,22,196,493,305,187,30510303,3,187,3.5,51,10466
10749,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1403,1404,419,2,797,739,1,0,0,1,7,51,11.6,8.6,487726,363237,1,1,0,563237,4,4,6,18,18,565,305,16,30510101,3,16,3.5,51,10749
10750,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1403,1404,419,2,797,739,1,0,0,1,7,51,11.6,8.6,487726,363237,1,1,0,563237,4,4,6,18,18,565,305,16,30510101,3,16,3.5,51,10750
10751,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1403,1404,419,2,797,739,1,0,0,1,7,51,11.6,8.6,487726,363237,1,1,0,563237,4,4,6,18,18,565,305,16,30510101,3,16,3.5,51,10751
10752,32.925,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1403,1404,419,2,797,739,1,0,0,1,7,51,11.6,8.6,487726,363237,1,1,0,563237,4,4,6,18,18,565,305,16,30510101,3,16,16,51,10752
10995,32.975,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1161,1163,311,2,692,993,7,115,0,4,7,51,39.1,0.85,498337,363161,5,9,16,563161,4,4,6,19,119,519,305,113,30510202,3,113,3.5,51,10995
10996,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1161,1163,311,2,692,993,7,115,0,4,7,51,39.1,0.85,498337,363161,5,9,16,563161,4,4,6,19,119,519,305,113,30510202,3,113,3.5,51,10996
10997,32.975,3.261003089,305102,4,305,3051,22,5,11666,14767,0,95,1161,1163,311,2,692,993,7,115,0,4,7,51,39.1,0.85,498337,363161,5,9,16,563161,4,4,6,19,119,519,305,113,30510202,3,113,16,51,10997
10998,33.025,3.261003089,305102,4,305,3051,22,5,11666,14767,0,95,1161,1163,311,2,692,993,7,115,0,4,7,51,39.1,0.85,498337,363161,5,9,16,563161,4,4,6,19,119,519,305,113,30510202,3,113,16,51,10998
11655,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1423,1424,223,2,416,856,87,115,0,4,7,51,21,1,483909,359786,6,16,6,559786,4,4,6,23,98,571,305,93,30510402,3,93,3.5,51,11655
11656,32.875,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1423,1424,223,2,416,856,87,115,0,4,7,51,21,1,483909,359786,6,16,6,559786,4,4,6,23,98,571,305,93,30510402,3,93,3.5,51,11656
11657,32.875,3.211003089,305104,4,305,3051,26,5,10663,13498,0,95,1423,1424,223,2,416,856,87,115,0,4,7,51,21,1,483909,359786,6,16,6,559786,4,4,6,23,98,571,305,93,30510402,3,93,16,51,11657
374,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,1,0,0,16,7,50.9,29,0.4,521146,360976,1,4,0,560976,4,4,6,45,205,530,305,196,30510903,3,196,3.5,50.9,374
375,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,1,0,0,16,7,50.9,29,0.4,521146,360976,1,4,0,560976,4,4,6,45,205,530,305,196,30510903,3,196,16,50.9,375
376,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1225,1226,1044,2,777,528,1,0,0,16,7,50.9,29,0.4,521146,360976,1,4,0,560976,4,4,6,45,205,530,305,196,30510903,3,196,3.5,50.9,376
10934,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1139,1140,643,2,765,1,79,0,0,1,7,50.9,,1.2,490785,369214,1,1,0,569214,4,4,6,24,188,511,305,179,30510503,3,179,3.5,50.9,10934
10935,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1139,1140,643,2,765,1,79,0,0,1,7,50.9,,1.2,490785,369214,1,1,0,569214,4,4,6,24,188,511,305,179,30510503,3,179,16,50.9,10935
10936,32.925,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1139,1140,643,2,765,1,79,0,0,1,7,50.9,,1.2,490785,369214,1,1,0,569214,4,4,6,24,188,511,305,179,30510503,3,179,3.5,50.9,10936
10637,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1116,1117,622,2,754,490,1,0,0,1,7,50.3,,0.6,488888,368682,5,9,0,568682,4,4,6,24,180,500,305,171,30510502,3,171,3.5,50.3,10637
10638,32.925,3.311003089,305105,4,305,3051,27,5,8793,11131,0,95,1116,1117,622,2,754,490,1,0,0,1,7,50.3,,0.6,488888,368682,5,9,0,568682,4,4,6,24,180,500,305,171,30510502,3,171,3.5,50.3,10638
10639,32.875,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1116,1117,622,2,754,490,1,0,0,1,7,50.3,,0.6,488888,368682,5,9,0,568682,4,4,6,24,180,500,305,171,30510502,3,171,16,50.3,10639
10640,32.925,3.361003089,305105,4,305,3051,27,5,8793,11131,0,95,1116,1117,622,2,754,490,1,0,0,1,7,50.3,,0.6,488888,368682,5,9,0,568682,4,4,6,24,180,500,305,171,30510502,3,171,3.5,50.3,10640
199,33.125,3.261003089,305106,4,305,3051,28,5,13027,16490,0,76,1267,1268,596,2,383,372,58,116,0,4,7,50.28,17.25,2.7,515245,361088,6,10,21,561088,4,4,6,45,15,538,305,13,30510901,3,13,3.5,50.28,199
200,33.125,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1267,1268,596,2,383,372,58,116,0,4,7,50.28,17.25,2.7,515245,361088,6,10,21,561088,4,4,6,45,15,538,305,13,30510901,3,13,3.5,50.28,200
201,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1267,1268,596,2,383,372,58,116,0,4,7,50.28,17.25,2.7,515245,361088,6,10,21,561088,4,4,6,45,15,538,305,13,30510901,3,13,16,50.28,201
3891,32.525,3.461003089,305208,4,305,3052,64,13,12786,16185,0,88,837,838,1512,3,467,444,58,116,0,4,7,50.26,25,0.5,450691,382517,6,10,21,582517,14,4,12,59,83,407,305,78,30520803,3,78,3.5,50.26,3891
