,X,Y,S_02_ID_x,DNAE_2002,D_02_ID_x,C_02_ID_x,SNAE_2002_x,CNAE_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NA,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UT200,DNAE_2010,DNAE_2006,CNAE_2006,SNAE_2006,PNAE_2006,FID_2,D_02_ID_y,PNAE_2002,P_02_ID,FTYPE,LABEL_P,DTW,DEPTH_clean,uid,geometry
421,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1123,1124,1068,2,387,99999,99999,99999,99999,4,11,,,,361619,523849,99999,99999,19,561619,4,4,5,44,214,509,305,205,30510904,3,205,16,,421,POINT (33.2146719753198 3.27162178104712)
420,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1235,1236,1067,2,214,99999,79,111,0,99999,7,,,,361612,523089,6,9,0,561612,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,420,POINT (33.20783100598167 3.271559899112744)
419,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1235,1236,1067,2,214,99999,79,111,0,99999,7,,,,361612,523089,6,9,0,561612,4,4,5,44,205,530,305,196,30510903,3,196,16,,419,POINT (33.20783100598167 3.271559899112744)
418,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1235,1236,1067,2,214,99999,79,111,0,99999,7,,,,361612,523089,6,9,0,561612,4,4,5,44,205,530,305,196,30510903,3,196,16,,418,POINT (33.20783100598167 3.271559899112744)
417,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1234,1235,1066,2,214,219,31,111,0,99999,7,35.64,15.77,1.9,523082,361511,99999,99999,0,561511,4,4,5,44,205,530,305,196,30510903,3,196,3.5,35.64,417,POINT (33.20776780905099 3.270646169460147)
416,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1234,1235,1066,2,214,219,31,111,0,99999,7,35.64,15.77,1.9,523082,361511,99999,99999,0,561511,4,4,5,44,205,530,305,196,30510903,3,196,16,35.64,416,POINT (33.20776780905099 3.270646169460147)
415,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1234,1235,1066,2,214,219,31,111,0,99999,7,35.64,15.77,1.9,523082,361511,99999,99999,0,561511,4,4,5,44,205,530,305,196,30510903,3,196,16,35.64,415,POINT (33.20776780905099 3.270646169460147)
414,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1233,1234,1065,2,214,222,99999,112,0,99999,7,,,,523299,361509,99999,99999,0,561509,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,414,POINT (33.2097210767652 3.270627667479121)
413,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1233,1234,1065,2,214,222,99999,112,0,99999,7,,,,523299,361509,99999,99999,0,561509,4,4,5,44,205,530,305,196,30510903,3,196,16,,413,POINT (33.2097210767652 3.270627667479121)
412,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1233,1234,1065,2,214,222,99999,112,0,99999,7,,,,523299,361509,99999,99999,0,561509,4,4,5,44,205,530,305,196,30510903,3,196,16,,412,POINT (33.2097210767652 3.270627667479121)
411,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1232,1233,1064,2,214,765,31,110,0,4,7,45,27,0.5,523263,361281,6,10,17,561281,4,4,5,44,205,530,305,196,30510903,3,196,3.5,45,411,POINT (33.20939660396893 3.268565029164776)
410,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1232,1233,1064,2,214,765,31,110,0,4,7,45,27,0.5,523263,361281,6,10,17,561281,4,4,5,44,205,530,305,196,30510903,3,196,16,45,410,POINT (33.20939660396893 3.268565029164776)
409,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1232,1233,1064,2,214,765,31,110,0,4,7,45,27,0.5,523263,361281,6,10,17,561281,4,4,5,44,205,530,305,196,30510903,3,196,16,45,409,POINT (33.20939660396893 3.268565029164776)
408,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1226,1227,1045,2,632,596,99999,0,99999,99999,7,,,,524669,360991,99999,99999,0,560991,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,408,POINT (33.22205175446588 3.265938682961495)
407,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1226,1227,1045,2,632,596,99999,0,99999,99999,7,,,,524669,360991,99999,99999,0,560991,4,4,5,44,205,530,305,196,30510903,3,196,16,,407,POINT (33.22205175446588 3.265938682961495)
406,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1226,1227,1045,2,632,596,99999,0,99999,99999,7,,,,524669,360991,99999,99999,0,560991,4,4,5,44,205,530,305,196,30510903,3,196,16,,406,POINT (33.22205175446588 3.265938682961495)
405,33.225,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1132,1133,1196,2,572,529,79,116,0,18,7,61.95,47.5,0.8,520339,369558,6,10,3,569558,4,4,5,44,214,509,305,205,30510904,3,205,16,61.95,405,POINT (33.18309070963183 3.343451924713652)
404,33.175,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1132,1133,1196,2,572,529,79,116,0,18,7,61.95,47.5,0.8,520339,369558,6,10,3,569558,4,4,5,44,214,509,305,205,30510904,3,205,3.5,61.95,404,POINT (33.18309070963183 3.343451924713652)
403,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1132,1133,1196,2,572,529,79,116,0,18,7,61.95,47.5,0.8,520339,369558,6,10,3,569558,4,4,5,44,214,509,305,205,30510904,3,205,3.5,61.95,403,POINT (33.18309070963183 3.343451924713652)
402,33.225,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1131,1132,1082,2,572,99999,31,116,0,4,7,,,,369552,522032,6,16,6,569552,4,4,5,44,214,509,305,205,30510904,3,205,16,,402,POINT (33.1983309449991 3.343394669707813)
401,33.175,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1131,1132,1082,2,572,99999,31,116,0,4,7,,,,369552,522032,6,16,6,569552,4,4,5,44,214,509,305,205,30510904,3,205,3.5,,401,POINT (33.1983309449991 3.343394669707813)
400,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1131,1132,1082,2,572,99999,31,116,0,4,7,,,,369552,522032,6,16,6,569552,4,4,5,44,214,509,305,205,30510904,3,205,16,,400,POINT (33.1983309449991 3.343394669707813)
399,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1131,1132,1082,2,572,99999,31,116,0,4,7,,,,369552,522032,6,16,6,569552,4,4,5,44,214,509,305,205,30510904,3,205,3.5,,399,POINT (33.1983309449991 3.343394669707813)
398,33.175,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,1237,1238,1080,2,484,462,8,115,0,4,7,76,33.65,0.73,3.317333,33.19613,5,15,20,566671,4,4,5,44,205,530,305,196,30510903,3,196,3.5,76,398,POINT (33.19612932078633 3.317330839160429)
397,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1237,1238,1080,2,484,462,8,115,0,4,7,76,33.65,0.73,3.317333,33.19613,5,15,20,566671,4,4,5,44,205,530,305,196,30510903,3,196,16,76,397,POINT (33.19612932078633 3.317330839160429)
396,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1237,1238,1080,2,484,462,8,115,0,4,7,76,33.65,0.73,3.317333,33.19613,5,15,20,566671,4,4,5,44,205,530,305,196,30510903,3,196,3.5,76,396,POINT (33.19612932078633 3.317330839160429)
395,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1129,1130,1079,2,180,127,12,93,0,5,7,,,,523207,365733,5,9,0,565733,4,4,5,44,214,509,305,205,30510904,3,205,16,,395,POINT (33.20890091682306 3.308842174602035)
